Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2023,21.0,90.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2024,,30.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2015,54.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2016,57.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2017,48.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2018,25.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2019,42.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2020,52.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2021,42.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2022,20.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2023,23.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg (e-læring)",2024,,12.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2015,129.0,200.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2016,128.0,195.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2017,85.0,179.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2018,93.0,197.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2019,72.0,225.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2020,67.0,185.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2021,132.0,217.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2022,68.0,230.0,,
